step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,ep_bestLapTime,terminated,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,actor_loss,critic_loss,critic1_quantile_loss,critic2_quantile_loss,alpha,alpha_loss,entropy,entropy_mean,q_pi_mean,algo
11214,35,11214,502.1735200881958,11319,0.5970800918444132,376,35,0,0.1360528534132754,2.162013053894043,0.0,0.0,True,0.0115149151971563,0.0216073999181389,0.0016246577357261,0.0400218933327123,0.0410504000028595,0.0001941675791004,0.0405992140155285,1,0.0064564423967773,0.0084513999754562,0.0003246730962965,-21.163280487060547,19.333702087402344,9.66433334350586,9.669368743896484,0.1034141108393669,0.1615901589393615,,1.4378215074539185,21.01455307006836,QRSAC
11461,36,11461,513.498829126358,11569,0.2615077226237845,248,36,0,0.0881952337821266,0.7678611874580383,0.0,0.0,True,0.0114505166020093,0.0194166000001132,0.0013015911569748,0.0400199526317628,0.0409445000113919,0.0001914093730836,0.0407117119291797,0,0.0065353299615535,0.0092777000973001,0.0003747680613526,-21.324142456054688,5.189364433288574,2.5358099937438965,2.6535544395446777,0.097471535205841,0.1319838762283325,,1.6462503671646118,21.16364097595215,QRSAC
11708,37,11708,524.7842135429382,11819,0.407908453853089,248,37,0,0.1383205513668672,0.7411485314369202,0.0,0.0,True,0.0114653635650367,0.018792700022459,0.0010389890211134,0.0400231591089315,0.0408992000157013,0.000193267583018,0.0406531320046633,0,0.00641021214714,0.0071594999171793,0.0002561581372058,-21.60331344604492,3.528388977050781,1.7072110176086426,1.821177959442139,0.0918230414390564,0.142339825630188,,1.450217366218567,21.470117568969727,QRSAC
12033,38,12033,539.2378854751587,12147,0.7689132376589444,326,38,0,0.2005402094454567,1.940088987350464,0.0,0.0,True,0.011622241538806,0.0202488000504672,0.0016085952006457,0.0400259879994421,0.0410481999861076,0.000168139200822,0.0404060519859194,1,0.0065090009222666,0.0089478000300005,0.0003641472890727,-20.971290588378903,4.899988174438477,2.432472944259644,2.467515468597412,0.0849516317248344,0.1379407942295074,,1.3766452074050903,20.85431671142578,QRSAC
12312,39,12312,551.8896164894104,12429,0.5246022108753052,280,39,0,0.1566616594404747,1.820960283279419,0.0,0.0,True,0.0115179025107413,0.0216589999618008,0.0015047211081289,0.0400203960571324,0.0409971999470144,0.0002017825515159,0.0405746600450947,0,0.0065411698973594,0.0084319000598043,0.0003288291839257,-20.939586639404297,12.928943634033203,6.496984481811523,6.4319586753845215,0.0794880092144012,0.1274959594011306,,1.396418809890747,20.828563690185547,QRSAC
13090,40,13090,584.4827392101288,13210,2.5547587485687657,779,40,0,0.366217673496041,2.790313005447388,0.0,0.0,True,0.0114543816199823,0.0219367999816313,0.0013373074639524,0.0400268573256791,0.0410865999292582,0.0002779863281239,0.0407004209887236,1,0.0063737230059681,0.0082382000982761,0.0003817800494161,-20.83178329467773,2.946584463119507,1.4448401927947998,1.501744270324707,0.066157765686512,0.1098407357931137,,1.340120553970337,20.74310111999512,QRSAC
13337,41,13337,595.7941303253174,13460,0.276524084934214,248,41,0,0.0931812303075979,0.4149309694766998,0.0,0.0,True,0.01175691052208,0.0216934999916702,0.0019905395204588,0.0400157190292794,0.0410173999844118,0.0003472206549375,0.0408061359962448,1,0.0064156789470252,0.0088956999825313,0.0004428637401124,-20.704864501953125,2.10443115234375,1.046289563179016,1.058141589164734,0.0623695887625217,0.0929122045636177,,1.5106408596038818,20.610626220703125,QRSAC
13934,42,13934,621.1404299736023,14060,1.7546395469773082,598,42,0,0.2723358181334139,2.835853099822998,0.0,0.0,True,0.0116325539349183,0.0214931999798864,0.0016753789596964,0.0400259619759289,0.0409632000373676,0.0003438970555423,0.0408250320190563,0,0.0065081293128783,0.0081631999928504,0.0002545974211154,-20.32735061645508,1.9682470560073853,0.9356197118759156,1.0326273441314695,0.0541670061647892,0.0748031288385391,,1.6193444728851318,20.23961639404297,QRSAC
14441,43,14441,642.8640661239624,14570,1.1619480978689862,508,43,0,0.2006650843647985,1.817567229270935,0.0,0.0,True,0.0114964591750243,0.0203257999382913,0.0014397512790174,0.0400183786981586,0.0411268000025302,0.0003041732075536,0.0407365239481441,4,0.0064338418194487,0.0092769999755546,0.0003836887337385,-19.971540451049805,12.704832077026367,6.382959365844727,6.321873188018799,0.0480715073645114,0.0779875367879867,,1.378061294555664,19.905277252197266,QRSAC
14858,44,14858,660.9899303913116,14990,0.7041009721622135,418,44,0,0.1414603595752781,1.4527814388275146,0.0,0.0,True,0.0114453777029319,0.0210912000620737,0.0013931122106733,0.0400236601917836,0.0409377000760287,0.0002970323531841,0.0407456840295344,0,0.0065984494017651,0.0085006000008434,0.0003001654324161,-19.70493698120117,2.595560073852539,1.259233832359314,1.3363261222839355,0.0436210148036479,0.0770827531814575,,1.233311414718628,19.651126861572266,QRSAC
