step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,ep_bestLapTime,terminated,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,actor_loss,critic_loss,critic1_quantile_loss,critic2_quantile_loss,alpha,alpha_loss,entropy,entropy_mean,q_pi_mean,algo
4342,18,225385,271.41306710243225,4396,8.650183807867695,158,18,0,4.827304489695456,10.66059112548828,0.0,,,0.0121595808917191,0.0278006000000345,0.0020010983722212,0.0400165503184697,0.0418014999999627,0.0006778867513967,0.0416312079999625,7,0.0050836796178335,0.0102447999999526,0.0010129588363006,,,,,,,,,,SAC
4581,19,225624,282.43266248703003,4638,8.235236315104043,240,19,0,3.5869926149881697,12.209709167480469,0.0,,,0.0122778347280343,0.0265785999999934,0.0019393673155456,0.0400091765690356,0.041305799999975,0.0006411064634883,0.0411671620000083,11,0.005321476569035,0.0108211000000437,0.0008186836833781,,,,,,,,,,SAC
4664,20,225707,287.17978048324585,4724,4.443955602648878,84,20,0,5.136636367250633,10.057784080505373,0.0,,,0.0126668518072317,0.0255044000000452,0.0025978178543615,0.0400244072289191,0.0410789999999678,0.000593847620264,0.0410634200000072,5,0.0053373903614493,0.0116993999999976,0.0012779859936261,,,,,,,,,,SAC
4912,21,225955,298.55345916748047,4975,12.89871581645679,249,21,0,4.687557321830548,10.614782333374023,0.0,,,0.0122619870967747,0.0207305999999789,0.0011095116953371,0.0400170108870948,0.0418617999999924,0.000859237596465,0.0414903249999974,31,0.0054220157258069,0.0074355000000423,0.0003733143419937,,,,,,,,,,SAC
5075,22,226118,306.50833225250244,5141,11.736706081624698,164,22,0,7.188470233473842,14.721487045288086,0.0,,,0.0123356699386534,0.0195530999999959,0.0008524535676062,0.0400155134969315,0.0411162999999987,0.0005702935130135,0.041040136000023,3,0.0055913306748457,0.0068994999999745,0.0003767203290227,,,,,,,,,,SAC
5360,23,226403,319.3593590259552,5429,9.826578788470352,286,23,0,3.699183580983581,10.053791046142578,0.0,,,0.0124296978947385,0.0216955999999868,0.0010603531481873,0.0400127189473682,0.0413602999999511,0.0008485311201653,0.0412609519999796,50,0.0054569073684188,0.0073894999999879,0.0004254053994432,-24.99569129943848,,,,0.3705570101737976,,1.3598008155822754,,,SAC
5557,24,226600,328.67255210876465,5629,7.914792968872219,198,24,0,4.699295283295802,13.0182466506958,0.0,,,0.0126682949238588,0.0202757000000133,0.0009535203642006,0.04001887969543,0.0416391999999632,0.0006840545543985,0.0410105239999529,3,0.0053178812182758,0.0074995000000512,0.0005388512986307,,,,,,,,,,SAC
6766,25,227809,378.5758106708527,6841,25.753545459430367,1210,25,0,2.5654029361924837,23.612091064453125,0.0,,,0.0120666536807281,0.0210883000000308,0.0009554327422446,0.0400090352357322,0.0419746000000031,0.0007208349235634,0.0412680879999766,60,0.0052476145574848,0.0070019000000343,0.0004389600462873,,,,,,,,,,SAC
7199,26,228242,397.3622343540192,7277,84.60952880010059,434,26,0,22.71000404624335,36.63742446899414,0.0,,,0.0119871556581975,0.0447545000000104,0.0026867906638987,0.0400126995381067,0.0593322000000284,0.0022879261422786,0.0413593600000012,6,0.0048196258660511,0.0167811000000028,0.0016560616740854,,,,,,,,,,SAC
7597,27,228640,414.751329421997,7678,108.63237149298703,399,27,0,31.04125267327973,56.833194732666016,0.0,,,0.0115826525125639,0.0227638000000069,0.0010613160173217,0.0400137525125635,0.0419174000000452,0.0007164456572074,0.0413222820000044,19,0.0054668552763834,0.0065804999999841,0.00035763822483,,,,,,,,,,SAC
7824,28,228867,425.299813747406,7908,27.246915557380504,228,28,0,13.900386243951385,34.67512893676758,0.0,,,0.0115768110132173,0.0160670999999865,0.0007632643963193,0.040017870044053,0.0417581000000382,0.0007535133543769,0.0412683019999644,15,0.0055307955947122,0.006473700000015,0.0002806351924773,,,,,,,,,,SAC
7989,29,229032,433.3287043571472,8076,17.684137166255226,166,29,0,15.412532320096023,34.19549560546875,0.0,,,0.0117580169696928,0.0222755000000347,0.0013160109400717,0.0400167406060573,0.0418712000000027,0.0006266412291309,0.0413121760000012,10,0.0054064181818175,0.0067965999999728,0.0003408224127072,,,,,,,,,,SAC
8121,30,229164,440.0542895793915,8211,14.322900754834135,133,30,0,12.322483791322869,25.579931259155277,0.0,,,0.0116327840909078,0.0215410000000133,0.0011247199251941,0.0400151659090892,0.0417690000000448,0.0006601983921123,0.0411589679999963,2,0.0055042749999996,0.0066735999999991,0.0003742518570154,,,,,,,,,,SAC
8212,31,229255,445.1274833679199,8305,7.26874370031918,92,31,0,8.741489977534082,18.944862365722656,0.0,,,0.0117134604395594,0.0201548999999658,0.0011683459361687,0.040008812087915,0.0413602000000423,0.0005405181053073,0.0409042599999963,1,0.0055112868131871,0.0072624999999675,0.0004855246115263,,,,,,,,,,SAC
8300,32,229343,450.0916521549225,8396,5.672100789429403,89,32,0,6.427205896564875,16.3992862701416,0.0,,,0.0118672431818202,0.0175841000000218,0.0009686689206914,0.0400250499999983,0.0413508999999976,0.0006186930539451,0.0410602329999699,3,0.0052842636363666,0.007142999999985,0.0003952388930021,-37.25211334228516,,,,0.1655398160219192,,0.3565440773963928,,,SAC
8627,33,229670,464.6400785446167,8726,78.06777953565776,328,33,0,21.6106446635492,46.27867126464844,0.0,,,0.0117459507645239,0.0145841000000359,0.0006754401002196,0.0400119042813462,0.0414774000000193,0.0006330893696892,0.0412744000000054,13,0.0053624045871548,0.0067377999999962,0.000327362344779,,,,,,,,,,SAC
8844,34,229887,474.7424576282501,8946,47.59751012389498,218,34,0,21.385591651394176,36.17472457885742,0.0,,,0.0119188313364033,0.0260904000000437,0.0016697358261344,0.0400171751152096,0.0412825000000225,0.0006521603919973,0.0411996800000179,6,0.0049881193548383,0.0121865000000411,0.0007870475266547,,,,,,,,,,SAC
9120,35,230163,487.2333998680115,9225,88.06652371268578,277,35,0,28.71359657475999,47.71464157104492,0.0,,,0.0119661572463755,0.0265482999999449,0.0019068968562403,0.0400127623188386,0.0417880999999624,0.0005553884918154,0.0410130750000377,4,0.005171979710142,0.0117151000000035,0.0007801605050542,-41.04573440551758,,,,0.1332521587610244,,-0.4123986363410949,,,SAC
9377,36,230420,498.960161447525,9485,55.36101123304712,258,36,0,22.472248196559,37.85011672973633,0.0,,,0.0119379066147841,0.0250085999999782,0.0014130255003299,0.0400098824902725,0.0414215999999783,0.0007285936204077,0.0412463640000055,22,0.0053509225680927,0.0108568999999647,0.0006468325013924,,,,,,,,,,SAC
9566,37,230609,507.9482772350311,9677,31.79928134232397,190,37,0,15.95008420799859,31.481922149658203,0.0,,,0.011766101058202,0.0148038999999471,0.000681031400027,0.0400148719576735,0.041275500000097,0.0007113787245441,0.0412324319999788,7,0.0053590343915343,0.0061197999999649,0.0003645278050713,,,,,,,,,,SAC
9933,38,230976,524.098081111908,10047,73.7752940215661,368,38,0,20.72470349304089,43.36274337768555,0.0,,,0.0118254643051778,0.0273074000000406,0.001417617601754,0.040014534059947,0.0418280000000095,0.000692199813736,0.0412299000000189,20,0.0053623163487747,0.01086650000002,0.0006117058892882,,,,,,,,,,SAC
10020,39,231063,528.9952340126038,10137,8.71965754123599,88,39,0,10.008454466548176,22.21949577331543,0.0,,,0.0119911367816069,0.0253072000000429,0.0030630074887103,0.0400233517241369,0.0421998000000485,0.0008247864499459,0.0415394919999948,9,0.0030463310344864,0.0104250999999067,0.002282683188917,-41.14240646362305,,,,0.1068287268280983,,-0.5900840759277344,,,SAC
10095,40,231138,533.4282779693604,10215,5.415196497610407,76,40,0,7.7514686657048415,17.47547149658203,0.0,,,0.0125353813333291,0.02331479999998,0.0019130109827705,0.0400248653333301,0.0415883000000576,0.0006354497717392,0.0411736780000023,2,0.005052855999996,0.0105009000000109,0.0010313164215679,,,,,,,,,,SAC
10186,41,231229,538.5094752311707,10309,7.740899392176263,92,41,0,10.61052103037946,21.56966590881348,0.0,,,0.012417127472525,0.0244323000000576,0.0018198266141956,0.0400129978021955,0.0411782999999559,0.0007057584007356,0.0411479700000427,7,0.0049947274725279,0.0107225000000426,0.0009220467940113,,,,,,,,,,SAC
10280,42,231323,543.7127003669739,10406,9.416877326000424,95,42,0,10.458037356640164,20.37001609802246,0.0,,,0.0126147404255237,0.0270080999999891,0.0028422913435301,0.0400270702127667,0.0415289000000029,0.0007862877418257,0.0412642220000157,8,0.0050189223404311,0.0109405000000606,0.0012325365713017,-35.171966552734375,,,,0.1005404517054557,,-0.769685685634613,,,SAC
